99995	61985
C(-C,-S,-S)	19	17
Si(-O,=O)	0	4
C(-O,-S,=S)	6	3
S(-F,-O,=O,=O)	0	3
C(-O,-Si)	1	5
N(-C,-C,-H)	1	1
C(-C,-Cl,-P)	1	0
O(-N,-S)	7	14
C(-C,-Cl,-O)	2	5
Si(-C,-C,-Si,-Si)	0	3
C(-F,-O)	2	6
C(-C,-C,-F,-H)	28	64
S(-C,-N,=C,=O)	1	0
C(-C,-H,-I,-O)	1	0
C(-C,-C,-H,-S)	209	347
O(-C,=B)	0	3
Cl(#S)	0	1
S(=P)	13	16
P(-O,=O)	0	5
C(-B,-N,=C)	3	4
N(-C,-C,-Si)	3	14
Si(-C,-N,-N)	0	3
O(-Si,=Si)	0	9
C(-Br,-Br,-C,-C)	0	3
B(-B,-C,=B)	0	1
C(-Br,-O,=N)	3	1
S(-C,-C)	12190	7217
C(-F,-N)	0	1
C(-I,-S,=C)	16	15
H(-B)	0	1
S(-F,-N)	0	1
B(-O,-O,-O)	2	3
C(-C,-H,-H,-H)	0	13
O(-C,=C)	0	2
C(-F,-F,=C)	8	10
S(-C,-C,=C,=C)	1	0
Si(-C,-C,-O,-Si)	0	3
C(-C,-F,-F,-S)	9	8
Si(-C,-C,-F,-N)	0	1
C(-C,-C,-Cl,-O)	1	2
C(-C,-H,=C)	2528	1821
N(-S,-S)	1	3
C(-B,-Cl,=C)	0	1
N(-Br,-C,-C)	3	0
B(-F,-F,-N)	0	1
C(-C,-C,-F,-F)	264	223
H(-C)	9102	11425
O(-P,-Si)	1	1
C(-Cl,-Cl,-Cl,-O)	0	1
C(-N,=S)	1	0
C(-C,-C,-I)	4	15
S(-C,-C,-O,-O)	0	15
N(-C,-F,-S)	1	0
C(-C,-Cl,-Cl,-Cl)	13	51
N(-C,-C,-I)	1	4
C(-C,-Cl,-S)	1	0
C(-Si,-Si,=S)	0	1
B(-F,-F,-O)	1	1
S(=S)	4	0
C(-O,-O,=C)	24	27
C(-Cl,-Cl,-Cl,-N)	0	1
C(-H,-Si,=C)	6	11
O(=C)	30709	20292
S(-C,-I,=O,=O)	2	0
C(-C,-C,-H,-N)	3539	5620
C(-C,-C,-P)	10	8
B(=B)	0	2
C(-H,-I,-N,-N)	0	1
S(-O,-O,=O)	1	3
C(-O,-S,=O)	10	8
N(-C,-N)	2752	1809
C(-H,-N,-N,-O)	1	1
O(-N,-O)	2	3
C(-H,-I,=C)	2	6
O(-O,-S)	5	10
P(-N,=O,=O)	0	1
C(-Cl,-F,=C)	1	0
C(-C,-I,=C)	291	595
C(-C,-Cl,-Cl,-F)	1	0
O(=B)	1	2
C(-C,-C,-O)	6370	3080
C(-C,-C,-H,-O)	1576	3189
Si(-C,-C,-C,-C)	80	111
C(-C,-O,-O,-O)	6	14
Cl(-Si)	2	3
C(-C,-O,-S,-Si)	0	1
C(-C,-C)	40591	24842
O(-N,-N)	54	33
N(-C,-S,-S)	5	6
B(-O,=C)	0	1
C(-Br,-Br,-Br,-C)	2	1
C(-Br,-N,=C)	116	56
C(-C,-C,-N)	16204	8132
N(-C,-P)	16	21
C(-C,-C,-Cl,-S)	2	1
P(-C,-C,-O,-O,-O)	1	0
C(-C,-C,-H,-P)	1	2
N(-C,-C,-N)	6611	3779
C(-C,-O,-O,-P)	2	0
C(-Br,-C,-Cl,-S)	1	0
O(-O,-Si)	0	2
Si(-C,-O,-O)	0	7
C(-Cl,-Cl,-Cl,-S)	0	1
N(-N,-O,-Si)	0	1
S(-C,-S,=C)	0	1
S(=N)	1	0
N(-C,-O)	333	232
B(=C)	0	20
C(-B,-B,-B,-O)	0	1
C(-O,-S,=N)	219	120
Si(=C)	0	1
C(-O,-P,=C)	1	0
C(-C,-Cl,-N)	4	7
P(-C,=S)	1	0
C(-Br,-C)	290	135
O(-N,-P)	1	3
C(-O,-P,=N)	1	0
Si(-N,-N,-N)	0	1
C(-C,-I)	28	28
B(-C,-C,-C)	1	8
C(-C,-F,-S,-S)	0	1
O(-P,-S)	1	0
S(-C,-F,=C)	1	0
C(-C,-C,-C,-C)	4825	3779
C(-O,=N)	145	68
C(-I,=C)	0	3
S(-Cl,-O,=O,=O)	0	1
O(-O,-O)	8	5
C(-H,-N,-N,-S)	0	3
S(-C,-C,-C,-O,=O)	0	1
C(=C)	1405	1183
C(-N,-O,-S)	1	0
Si(-C,-O,-O,-Si)	1	1
C(-C,-C,-C)	14646	8187
C(-B,-C)	6	19
S(-C,-Si)	0	1
C(-C,-H)	0	1
Si(-C,-Si,-Si)	0	1
P(-C,-O,-O,=C)	1	0
P(-N,=C)	0	1
C(-F,-F,-F,-N)	5	4
N(=C)	2712	2030
N(-N,=P)	0	1
N(-N,-O,-O)	2	0
Si(-C,-C)	0	7
I(-N)	1	4
S(-O,-S,=O,=O)	2	0
C(-C,-C,-F,-O)	4	11
C(-C,-O,-P,-P)	1	4
S(-S,-S,=O)	0	1
S(-C,-S,=N)	1	1
C(-C,-P,-P)	0	5
C(-N,-N,-O)	1	8
C(-Cl,-S,=C)	200	126
C(-C,-F,-S)	1	1
C(#C,-Br)	3	1
C(-B,-N,=O)	0	1
B(#B,-C)	0	1
P(-C,-N,-S,=O)	0	1
N(-N,=S)	0	2
C(-B,-C,=N)	5	3
C(-Br,-C,-C)	125	54
I(-O)	3	2
C(-Br,-N)	0	1
C(-C,-C,-F,-N)	5	8
B(-B,-O,-O)	0	1
C(-C,-Cl,-Cl)	8	15
C(-C,-C,-Si)	15	38
C(-C,-F)	91	91
S(-C,-S,=O)	2	0
Si(-N,-N,-O)	0	1
B(-C,-C,-F)	0	1
C(-N,-N,-N)	16	14
I(-P)	0	1
C(-C,-C,-Cl,-H)	9	32
C(-O,=O)	17	14
N(-C,-C)	20558	10933
F(-Si)	0	4
B(#B,-B)	0	1
O(-O,-P)	0	3
P(-N,-O,-S,=O)	1	0
C(-C,-C,-H)	0	4
O(=Cl)	0	3
S(-C,-F)	1	2
C(-C,-C,-C,-H)	1773	3320
C(-F,-F,-F,-I)	0	1
